#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced;Balanced war strategy;Stratégie de guerre équilibrée;Ausgewogene Kriegsstrategie;;Estrategia equilibrada de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced_desc;This character has opted for a balanced war strategy, conferring no benefits or penalties.;Ce personnage a opté pour une stratégie de guerre équilibrée, ne conférant aucun avantage ni pénalité.;Dieser Charakter hat sich für eine ausgewogene Kriegsstrategie entschieden, die keine Vorteile oder Strafen verleiht.;;Este personaje ha optado por una estrategia de guerra equilibrada, que no otorga beneficios ni sanciones.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack;Assault war strategy;Stratégie de guerre d'assaut;Angriffskriegsstrategie;;Estrategia de guerra de asalto;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack_desc;The artillery is readied, the garrisons left lightly armoured, and the men have been outfitted with heavy weaponry and drilled in the charge. This character clearly means to attack their opponents head on.;Les hommes ont été équipés d'armes lourdes, favorisant les cuirasses et les faunes sur l'armure arrière, et les moteurs de siège sont préparés. Ce personnage signifie clairement attaquer leurs adversaires en tête.;Die Männer sind mit schweren Waffen ausgestattet, begünstigen Kürassiere und Fappen über die Rückenpanzerung, und die Belagerungsmotoren sind vorbereitet. Dieser Charakter bedeutet eindeutig, um ihre Gegner anzugreifen.;;Los hombres han sido equipados con armamento pesado, favoreciendo las corazas y faulds sobre la armadura trasera, y los motores del asedio se preparan. Este personaje claramente significa atacar a sus oponentes de frente.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend;Defend war strategy;Stratégie de guerre défensive;Defensive Kriegsstrategie;;Estrategia de guerra defensiva;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend_desc;This character has called for trenches to be built, holdfasts to be made strong and men to stand fast. The enemy are most unwelcome on their land.;Ce personnage a ordonné que les holdfasts soient forts, que l'armure soit forgée d'épaisseur et que les hommes se tiennent debout. Les ennemis sont les plus indésirables sur leurs terres.;Dieser Charakter hat befohlen, dass die Festhalten stark gemacht werden, die Rüstung, um dick zu werden und die Männer schnell zu stehen. Der Feind ist auf ihrem Land am meisten unerwünscht.;;Este personaje ha ordenado que se hagan fuertes, que las armaduras sean forjadas y que los hombres se mantengan firmes. El enemigo no es bienvenido en su tierra.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick;Storm war strategy;Stratégie de guerre des tempêtes;Sturmkriegstrategie;;Estrategia de guerra de tormenta;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick_desc;Soldiers travel light and the quartermasters stock few provisions, but this is no enforced shortage. The men are equipped and drilled for one purpose: to stike deep into enemy heartlands in one crushing blow.;Les Warriors voyagent de la lumière et les quartermasters stockent peu de provisions, mais ce n'est pas une pénurie forcée. Les hommes sont équipés et forés dans un seul but: incliner profondément dans les champs de l'ennemi en un seul coup écrasant.;Krieger reisen Licht und die Quartiermeister haben nur wenige Bestimmungen, aber das ist kein erzwungener Mangel. Die Männer sind ausgerüstet und gebohrt für einen Zweck: tief in feindliche Herzfälle in einem zerquetschenden Schlag zu treten.;;Los guerreros viajan ligeros y los quartermasters almacenan pocas provisiones, pero esto no es una escasez forzada. Los hombres están equipados y perforados para un propósito: penetrar profundamente en las tierras enemigas en un golpe aplastante.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition;Organised war strategy;Stratégie de guerre organisée;Organisierte Kriegsstrategie;;Estrategia de guerra organizada;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition_desc;This character has focussed their war efforts on supply logistics and siege readiness, in preparation for a war of attrition.;Ce personnage a concentré ses efforts de guerre sur la logistique de l'approvisionnement et la préparation au siège, en prévision d'une guerre d'attrition.;Dieser Charakter hat sich auf die Kriegsbemühungen auf die Angebotslogistik und die Belagerungsbereitschaft konzentriert, um einen Abrisskrieg vorzubereiten.;;Este personaje ha centrado sus esfuerzos de guerra en la logística de suministro y la preparación para el asedio, en preparación para una guerra de desgaste.;;;;;;;;;x;,,,,,,,,,,
### DECISIONS ###
robmodcombat_battlefield_position_first;Select your battlefield position;Sélectionnez votre position de champ de bataille;Wähle deine Schlachtfeldposition;;Seleccione su campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_first_desc;Although all rulers are expected to put their lives at risk by fighting with their men, there are many different positions one can take on the battlefield. Each holds different levels of risk and prestige.;Bien que tous les dirigeants puissent mettre leur vie en danger en se battant avec leurs hommes, il existe de nombreuses positions différentes sur le champ de bataille. Chacun détient différents niveaux de risque et de prestige.;Obwohl alle Herrscher erwartet werden, ihr Leben in Gefahr zu setzen, indem sie mit ihren Männern kämpfen, gibt es viele verschiedene Positionen, die man auf dem Schlachtfeld nehmen kann. Jeder hält unterschiedliche Risiko und Prestige.;;Aunque se espera que todos los gobernantes pongan en peligro sus vidas luchando con sus hombres, hay muchas posiciones diferentes que uno puede tomar en el campo de batalla. Cada uno tiene diferentes niveles de riesgo y prestigio.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_position_cooldown_tt;Has not been forced to change battlefield position in the last 5 years;N'a pas été contraint de changer la position du champ de bataille au cours des 5 dernières années.;In den letzten 5 Jahren ist es nicht gezwungen worden, die Schlachtfeldposition zu ändern.;;No se ha visto obligado a cambiar de posición en el campo de batalla en los últimos 5 años.;;;;;;;;;x;,,,,,,,,,,
set_battlefield_position_tt;Call in your commanders and notify them as to what position you will be taking up on the battlefield;Appelez vos commandants et informez-les de la position que vous occuperez sur le champ de bataille;Rufen Sie Ihre Kommandanten an und benachrichtigen Sie, welche Position Sie auf dem Schlachtfeld nehmen werden;;Llame a sus comandantes y notifíqueles en cuanto a qué posición usted tomará en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change;Change your battlefield position;Changez votre position de champ de bataille;Ändern Sie Ihre Schlachtfeldposition;;Cambia tu posición en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change_desc;You may change your position on the battlefield any time you are at war. Useful if for any reason you want to protect yourself from harm, or conversely improve your chances of gaining glory on the battlefield.;Vous pouvez changer votre position sur le champ de bataille à tout moment. Utile si, pour quelque raison que ce soit, vous voulez vous protéger du mal ou, à l'inverse, améliorer vos chances de gagner la gloire sur le champ de bataille.;Sie können jederzeit Ihre Position auf dem Schlachtfeld ändern. Nützlich, wenn aus irgendeinem Grund du dich vor Schaden schützen willst, oder umgekehrt deine Chancen auf den Ruhm auf dem Schlachtfeld zu verbessern.;;Usted puede cambiar su posición en el campo de batalla en cualquier momento. Útil si por cualquier razón usted quiere protegerse de daño, o por el contrario mejorar sus posibilidades de ganar gloria en el campo de batalla.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy;Set your war strategy;Définissez votre stratégie de guerre;Setze deine Kriegsstrategie ein;;Defina su estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_desc;Defining your war strategy outfits your troops and other military apparatus to best suit your current situation. The various options will confer certain benefits to your armies, but each also has drawbacks.;Vous pouvez changer votre stratégie de guerre pour mieux répondre à votre situation actuelle. Les différentes options conféreront certains avantages à vos armées, mais elles présentent également des inconvénients.;Sie können Ihre Kriegsstrategie ändern, um Ihrer aktuellen Situation am besten zu entsprechen. Die verschiedenen Optionen verleihen Ihren Armeen gewisse Vorteile, aber jeder hat auch Nachteile.;;Puede cambiar su estrategia de guerra para que se adapte mejor a su situación actual. Las diversas opciones confieren ciertos beneficios a sus ejércitos, pero cada uno también tiene inconvenientes.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_cooldown_tt;Has NOT changed war stategy in the last year;N'a PAS changé la stratégie de guerre au cours de la dernière année;Hat im letzten Jahr die Kriegsstrategie nicht geändert;;NO ha cambiado la estrategia de guerra en el último año;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_liege_tt;Has NOT had your current war strategy set by your liege;N'a PAS eu votre stratégie de guerre fixée par votre liege;Hatte NICHT Ihre Kriegsstrategie von deinem Lied gesetzt;;NO ha tenido su estrategia de guerra establecida por su señor;;;;;;;;;x;,,,,,,,,,,
set_war_strategy_tt;Call in your commanders to discuss the war strategy;Appelez vos commandants pour discuter de la stratégie de guerre;Rufen Sie in Ihren Kommandanten auf, um die Kriegsstrategie zu besprechen;;Llame a sus comandantes para discutir la estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
### NICKNAMES ###
nick_the_warrior;the Warrior;le Guerrier;der Krieger;;el Guerrero;;;;;x
nick_swordarm;Sword-Arm;Bras à l'Épée;Schwertarm;;Brazo de Espada;;;;;x
nick_weakarm;Weak-Arm;Bras Faible;Schwacharm;;Brazo Débil;;;;;x
nick_the_leader;War-Leader;Chef de Guerre;Kriegsführer;;Líder de Guerra;;;;;x
nick_the_afraid;the Coward;le Lâche;der Feigling;;el cobarde;;;;;x
nick_the_timid;the Timid;le Timide;die Schüchterne;;el Tímido;;;;;x
### MODIFIERS ###
# CHARACTER #
robmodcombat_inspired_men;Inspirational charge;Charge inspiratoire;Inspirationsgebühr;;Carga inspiradora;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20004;There was a time I had no fear, but fighting with the vanguard in today's action against [From.GetTitledName] I have to admit I was petrified. I nearly ran away on a number of occasions, and I think tomorrow I shall retire to a less advanced position, lest I embarrass myself.;À la fois, je ne me sentais pas du tout, mais je me suis battu avec l'avant-garde dans l'action d'aujourd'hui contre [From.GetTitledName]. Je dois admettre que j'étais pétrifié. J'ai failli m'enfuir à plusieurs reprises, et je pense qu'il est temps que je me retire dans une position moins avancée, de sorte que je ne m'embête pas.;Zu einer Zeit fühlte ich überhaupt keine Angst, aber kämpfte mit der Vorhut in der heutigen Aktion gegen [From.GetTitledName] Ich muss zugeben, dass ich versteinert war. Ich bin fast mehr weg gelaufen, und ich denke, es ist Zeit, dass ich mich in eine weniger fortgeschrittene Position zurückgezogen habe, damit ich mich nicht in Verlegenheit bringen werde.;;En un momento no sentí ningún miedo en absoluto, pero luchar con la vanguardia en la acción de hoy contra [From.GetTitledName] Tengo que admitir que estaba petrificado. Casi me escapé en varias ocasiones, y creo que es hora de que me retire a una posición menos avanzada, para no avergonzarme.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20004;I will still lead from the front, just without a death wish.;Je serai toujours à l'avant.;Ich werde noch an der Front sein.;;Todavía estaré en el frente.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20005;The old debilitating fear no longer holds me in its grip, and during today's battle against [From.GetTitledFirstName] I felt a sudden shame at not being at the front alongside my men. Why should they die for [Root.PrimaryTitle.GetBaseName], if I will not myself? Tomorrow I shall lead from the front like a true [Root.GetTitle].;L'emprise débilitante de la peur ne me contrôle plus, et pendant la bataille d'aujourd'hui contre [From.GetTitledFirstName], j'ai senti une honte profonde de ne pas être à l'avant en me battant aux côtés de mes hommes. Pourquoi devraient-ils mourir pour la gloire de [Root.PrimaryTitle.GetBaseName], si je ne vais pas moi-même? Demain, je conduirai du front comme une vraie [Root.GetTitle].;Der schwächende Griff der Angst beherrscht mich nicht mehr, und während des Kampfes gegen [From.GetTitledFirstName] fühlte ich eine plötzliche Schande, nicht an der Front zu sein, die neben meinen Männern kämpfte. Warum sollten sie für den Ruhm von [Root.PrimaryTitle.GetBaseName] sterben, wenn ich nicht selber werde? Morgen werde ich von vorne wie ein echter [Root.GetTitle] führen.;;El debilitante agarre del miedo ya no me controla, y durante la batalla de hoy contra [From.GetTitledFirstName] sentí una súbita vergüenza por no estar en el frente luchando junto a mis hombres. ¿Por qué deben morir por la gloria de [Root.PrimaryTitle.GetBaseName], si yo no quiero? Mañana conduciré desde el frente como un verdadero [Root.GetTitle].;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20005;I shall win glory, or I shall die in the attempt.;Je gagnerai la gloire, ou je mourrai dans la tentative.;Ich werde den Ruhm gewinnen, oder ich werde bei dem Versuch sterben.;;Ganaré la gloria, o moriré en el intento.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20006_VAN;[Root.PrimaryTitle.GetBaseName] is now at peace, and the court is alive with talk of battles fought. Your own exploits are discussed at length, and your commanders tell of how you were an inspiration to your men, being ever in the vanguard at the thick of the battle. Most are impressed, but some mutter of how a [Root.PrimaryTitle.GetRulerTitle] should not put [Root.GetHerHis] life at such risk.;[Root.PrimaryTitle.GetBaseName] est maintenant en paix, et la cour est en vie avec des discussions sur des combats menacés. Vos propres exploits sont longuement discutés, et vos commandants racontent comment vous avez été une source d'inspiration pour vos hommes, toujours en pleine guerre. La plupart sont impressionnés, mais certains murmurent comment un [Root.PrimaryTitle.GetRulerTitle] ne doit pas mettre [Root.GetHerHis] la vie à tel risque.;[Root.PrimaryTitle.GetBaseName] ist jetzt in Frieden, und das Gericht lebt mit der Rede von Schlachten gekämpft. Ihre eigenen Heldentaten werden ausführlich besprochen, und deine Kommandanten erzählen, wie du eine Inspiration für deine Männer warst und jemals in der Schlacht von der Schlacht warst. Die meisten sind beeindruckt, aber einige Murmeln, wie ein [Root.PrimaryTitle.GetRulerTitle] sollte nicht [Root.GetHerHis] Leben auf solche Gefahr setzen.;;[Root.PrimaryTitle.GetBaseName] ahora está en paz, y la corte está viva con la conversación de batallas luchadas. Sus propias hazañas son discutidas extensamente, y sus comandantes dicen de cómo usted era una inspiración a sus hombres, siendo siempre en el grueso de la batalla. La mayoría están impresionados, pero algunos murmullo de cómo un [Root.PrimaryTitle.GetRulerTitle] no debe poner [Root.GetHerHis] vida en tal riesgo.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20006_FRONT_NOHERO;[Root.PrimaryTitle.GetBaseName] is now at peace, and the court is alive with talk of battles fought. Your commanders speak of how you were ever on the front line, leading the initial charge valiantly as is a [Root.PrimaryTitle.GetRulerTitle]'s way. Your courtiers nod their appreciation, but as conversation moves on the true heroes of the war seem to be found elsewhere.;[Root.PrimaryTitle.GetBaseName] est maintenant en paix, et la cour est en vie avec des discussions sur des combats menacés. Vos commandants parlent de la façon dont vous avez été en première ligne, ce qui a mené à bien la charge initiale, de même qu'une prérogative [Root.PrimaryTitle.GetRulerTitle]. Vos courtisans hochent leur appréciation, mais comme les mouvements de conversation sur les vrais héros de la guerre se trouvent ailleurs.;[Root.PrimaryTitle.GetBaseName] ist jetzt in Frieden, und das Gericht lebt mit der Rede von Schlachten gekämpft. Ihre Kommandanten sprechen davon, wie Sie jemals auf der Front waren, was die Anfangsladung tapfer machte, wie es ein [Root.PrimaryTitle.GetRulerTitle] 's Vorrecht ist. Ihre Höflinge nicken ihre Wertschätzung, aber als Konversation bewegt sich auf die wahren Helden des Krieges scheint anderswo zu finden.;;[Root.PrimaryTitle.GetBaseName] ahora está en paz, y la corte está viva con la conversación de batallas luchadas. Sus comandantes hablan de cómo usted estaba siempre en la línea de frente, llevando la carga inicial valientemente, como es una prerrogativa de [Root.PrimaryTitle.GetRulerTitle]. Sus cortesanos asientan su aprecio, pero a medida que la conversación avanza, los verdaderos héroes de la guerra parecen encontrarse en otra parte.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20006_FRONT_HERO;[Root.PrimaryTitle.GetBaseName] is now at peace, and the court is alive with talk of battles fought. Your commanders speak of how you were ever on the front line, leading the initial charge valiantly as is a [Root.PrimaryTitle.GetRulerTitle]'s way. Your courtiers nod their appreciation, but [robmodcombat_hero.GetTitledFirstName] emerges as the true hero of the war, as tales of [robmodcombat_hero.GetHerHis] daring actions in the vanguard spread.;[Root.PrimaryTitle.GetBaseName] est maintenant en paix, et la cour est en vie avec des discussions sur des combats menacés. Vos commandants parlent de la façon dont vous avez été en première ligne, ce qui a mené à bien la charge initiale, de même qu'une prérogative [Root.PrimaryTitle.GetRulerTitle]. Vos courtisans hochent leur appréciation, mais comme les mouvements de conversation sur les vrais héros de la guerre se trouvent ailleurs.;[Root.PrimaryTitle.GetBaseName] ist jetzt in Frieden, und das Gericht lebt mit der Rede von Schlachten gekämpft. Ihre Kommandanten sprechen davon, wie Sie jemals auf der Front waren, was die Anfangsladung tapfer machte, wie es ein [Root.PrimaryTitle.GetRulerTitle] 's Vorrecht ist. Ihre Höflinge nicken ihre Wertschätzung, aber als Konversation bewegt sich auf die wahren Helden des Krieges scheint anderswo zu finden.;;[Root.PrimaryTitle.GetBaseName] ahora está en paz, y la corte está viva con la conversación de batallas luchadas. Sus comandantes hablan de cómo usted estaba siempre en la línea de frente, llevando la carga inicial valientemente, como es una prerrogativa de [Root.PrimaryTitle.GetRulerTitle]. Sus cortesanos asientan su aprecio, pero a medida que la conversación avanza, los verdaderos héroes de la guerra parecen encontrarse en otra parte.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20006_MID_NOHERO;[Root.PrimaryTitle.GetBaseName] is now at peace, and the court is alive with talk of battles fought. Many great deeds are celebrated, but your own actions seem to get little attention. When pressed, your commanders say that you were on the battlefield and fought with honour, but the stories quickly move on to other brave warriors.;[Root.PrimaryTitle.GetBaseName] est maintenant en paix, et la cour est en vie avec des discussions sur des combats menacés. On parle de beaucoup de bonnes actions, mais vos propres actions semblent avoir peu d'attention. Lorsque vous êtes pressé, vos commandants disent que vous étiez sur le champ de bataille et que vous avez combattu avec honneur, mais il y a un soupçon indéniable de désapprobation. Les histoires passent rapidement à d'autres guerriers courageux.;[Root.PrimaryTitle.GetBaseName] ist jetzt in Frieden, und das Gericht lebt mit der Rede von Schlachten gekämpft. Es wird von vielen großen Taten gesprochen, aber deine eigenen Handlungen scheinen wenig Aufmerksamkeit zu schenken. Wenn Sie gedrückt werden, sagen Ihre Kommandanten, dass Sie auf dem Schlachtfeld waren und mit Ehren kämpften, aber es gibt einen unleugbaren Hinweis auf Missbilligung. Die Geschichten bewegen sich schnell auf andere mutige Krieger.;;[Root.PrimaryTitle.GetBaseName] ahora está en paz, y la corte está viva con la conversación de batallas luchadas. Se habla de muchas grandes obras, pero sus propias acciones parecen recibir poca atención. Cuando son presionados, sus comandantes dicen que estaban en el campo de batalla y lucharon con honor, pero hay un indicio innegable de desaprobación. Las historias pasan rápidamente a otros valientes guerreros.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20006_MID_HERO;[Root.PrimaryTitle.GetBaseName] is now at peace, and the court is alive with talk of battles fought. Many great deeds are celebrated, but your own actions seem to get little attention. When pressed, your commanders say that you were on the battlefield and fought with honour, but the real praise is reserved for [robmodcombat_hero.GetTitledFirstName] who they say was every in the thick of battle.;[Root.PrimaryTitle.GetBaseName] est maintenant en paix, et la cour est en vie avec des discussions sur des combats menacés. On parle de beaucoup de bonnes actions, mais vos propres actions semblent avoir peu d'attention. Lorsque vous êtes pressé, vos commandants disent que vous étiez sur le champ de bataille et que vous avez combattu avec honneur, mais il y a un soupçon indéniable de désapprobation. Les histoires passent rapidement à d'autres guerriers courageux.;[Root.PrimaryTitle.GetBaseName] ist jetzt in Frieden, und das Gericht lebt mit der Rede von Schlachten gekämpft. Es wird von vielen großen Taten gesprochen, aber deine eigenen Handlungen scheinen wenig Aufmerksamkeit zu schenken. Wenn Sie gedrückt werden, sagen Ihre Kommandanten, dass Sie auf dem Schlachtfeld waren und mit Ehren kämpften, aber es gibt einen unleugbaren Hinweis auf Missbilligung. Die Geschichten bewegen sich schnell auf andere mutige Krieger.;;[Root.PrimaryTitle.GetBaseName] ahora está en paz, y la corte está viva con la conversación de batallas luchadas. Se habla de muchas grandes obras, pero sus propias acciones parecen recibir poca atención. Cuando son presionados, sus comandantes dicen que estaban en el campo de batalla y lucharon con honor, pero hay un indicio innegable de desaprobación. Las historias pasan rápidamente a otros valientes guerreros.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20006_REAR;[Root.PrimaryTitle.GetBaseName] is now at peace, and the court is alive with talk of battles fought. Your commanders regale the court with talk of the great deeds, but from these stories your own name is conspicuously absent. When pressed, they will only say "the [Root.PrimaryTitle.GetRulerTitle] was there also", and although there is no open criticism you can sense their disapproval.;[Root.PrimaryTitle.GetBaseName] est maintenant en paix, et la cour est en vie avec des discussions sur des combats menacés. Vos commandants reconnaissent la cour en parlant des grands faits, mais à partir de ces histoires, votre propre nom est manifestement absent. Lorsqu'ils sont pressés, ils diront seulement que "[Root.PrimaryTitle.GetRulerTitle] était là aussi", et bien qu'il n'y ait aucune critique ouverte, vous pouvez détecter leur désapprobation.;[Root.PrimaryTitle.GetBaseName] ist jetzt in Frieden, und das Gericht lebt mit der Rede von Schlachten gekämpft. Ihre Kommandanten regieren den Hof mit der Rede von den großen Taten, aber aus diesen Geschichten ist dein eigener Name auffällig fehlend. Wenn sie gedrückt werden, werden sie nur sagen, "die [Root.PrimaryTitle.GetRulerTitle] war da auch", und obwohl es keine offene Kritik gibt, können Sie ihre Missbilligung spüren.;;[Root.PrimaryTitle.GetBaseName] ahora está en paz, y la corte está viva con la conversación de batallas luchadas. Sus comandantes regale la corte con la charla de las grandes acciones, pero de estas historias su propio nombre está conspicuamente ausente. Cuando están presionados, sólo dirán que "[Root.PrimaryTitle.GetRulerTitle] estaba allí también", y aunque no hay crítica abierta, puede sentir su desaprobación.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20006_VAN;It feels good to be recognised!;Ça fait du bien d'être reconnu!;Es fühlt sich gut an, erkannt zu werden!;;¡Se siente bien ser reconocido!;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20006_FRONT;The [Root.PrimaryTitle.GetRulerTitle] should lead, and lead I did.;Le [Root.PrimaryTitle.GetRulerTitle] devrait conduire et conduire, j'ai fait.;Die [Root.PrimaryTitle.GetRulerTitle] sollte führen und führen, dass ich das gemacht habe.;;El [Root.PrimaryTitle.GetRulerTitle] debe conducir, y el plomo que hice.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20006_MID;At least I'm still alive to hear the tales.;Au moins, je suis encore vivant pour entendre les contes.;Zumindest bin ich noch am Leben, um die Geschichten zu hören.;;Zumindest bin ich noch am Leben, um die Geschichten zu hören.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20006_REAR;And I'm sure they are more vocal with their criticism in private.;Et je suis sûr qu'ils sont plus audacieux avec leurs critiques en privé.;Und ich bin sicher, sie sind mehr stimmlich mit ihrer Kritik privat.;;Y estoy seguro de que son más vocales con sus críticas en privado.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20009;Tales of your exploits at war have throughout the [Root.PrimaryTitle.GetFullName], and at a feast tonight, you are surprised to hear the minstrels play a song composed to commemorate your deeds. After it is finished, [From.GetTitledFirstName] stands and suggests a toast. "[Root.PrimaryTitle.GetFOA]," [From.GetSheHe] begins, "your valour is an inspiration to all [Root.Religion.GetName] men".;Les contes de vos exploits en guerre ont tout au long de [Root.PrimaryTitle.GetFullName], et lors d'une fête ce soir, vous êtes surpris d'entendre que les ménestrels jouent une chanson composée pour commémorer vos actes. Une fois qu'il est terminé, [From.GetTitledFirstName] se présente et suggère un toast. "[Root.PrimaryTitle.GetFOA]," [From.GetSheHe] commence, "votre valeur est une source d'inspiration pour tous [Root.Religion.GetName] men".;Geschichten von deinen Heldentaten im Krieg haben während des [Root.PrimaryTitle.GetFullName], und bei einem Fest heute Abend bist du überrascht zu hören, dass die Minnesänger ein Lied spielen, das zum Gedenken an deine Taten zusammengesetzt ist. Nachdem es fertig ist, steht [From.GetTitledFirstName] und schlägt einen Toast vor. "[Root.PrimaryTitle.GetFOA]," [From.GetSheHe] beginnt, "Ihre Tapferkeit ist eine Inspiration für alle [Root.Religion.GetName] Männer".;;Cuentos de sus hazañas en la guerra han en todo el [Root.PrimaryTitle.GetFullName], y en una fiesta de esta noche, se sorprenden al escuchar a los juglares tocar una canción compuesta para conmemorar sus hechos. Después de que haya terminado, [From.GetTitledFirstName] está parado y sugiere un brindis. "[Root.PrimaryTitle.GetFOA]," [From.GetSheHe] comienza, "tu valor es una inspiración para todos los [Root.Religion.GetName] hombres".;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20009;"Thank you for your kind words, [From.GetTitledFirstName]";"Merci pour vos gentils mots, [From.GetTitledFirstName]";"Danke für deine freundlichen Worte, [From.GetTitledFirstName]";;"Gracias por sus amables palabras, [From.GetTitledFirstName]";;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20012_YC;Your [GetFromRelation] [From.GetFirstName] has been giving you the silent treatment for some time, and tonight you demand to know what's wrong. "I'll tell you what's wrong!" [From.GetSheHeCap] says angrily, "The men say you must have a death wish on the battlefield, putting your life at risk needlessly. Do you want your poor children to grow up without a [Root.GetFatherMother]?!";Votre [GetFromRelation] [From.GetFirstName] vous a donné le traitement silencieux pendant un certain temps, et ce soir, vous demandez de savoir ce qui ne va pas. "Je vais vous dire ce qui ne va pas!" [From.GetSheHelCap] dit en colère: "Les hommes disent que vous devez avoir un vœu de mort sur le champ de bataille, mettant votre vie en danger. Voulez-vous que vos enfants pauvres grandissent sans un [Root.GetFatherMother]?";Ihr [GetFromRelation] [From.GetFirstName] gibt dir die stille Behandlung für einige Zeit, und heute Abend verlangst du zu wissen, was falsch ist "Ich werde dir sagen, was los ist!" [From.GetSheHeCap] sagt ärgerlich: "Die Männer sagen, du musst einen Todeswunsch auf dem Schlachtfeld haben, indem du dein Leben unnötig in Gefahr versetzt hast. Möchtest du, dass deine armen Kinder ohne ein [Root.GetFatherMother] aufwachsen?";;Su [GetFromRelation] [From.GetFirstName] le ha estado dando el tratamiento silencioso durante algún tiempo, y esta noche usted demanda saber qué está mal. "Te diré lo que está mal!" [From.GetSheHeCap] dice enojado: "Los hombres dicen que debes tener un deseo de muerte en el campo de batalla, poniendo tu vida en riesgo innecesariamente. ¿Quieres que tus pobres hijos crezcan sin un [Root.GetFatherMother]?";;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20012_NYCW;Your [GetFromRelation] [From.GetFirstName] has been giving you the silent treatment for some time, and tonight you demand to know what's wrong. "I'll tell you what's wrong!" [From.GetSheHeCap] says angrily, "The men say you must have a death wish on the battlefield, putting your life at risk needlessly. Do you want to make me a widow?";Votre [GetFromRelation] [From.GetFirstName] vous a donné le traitement silencieux pendant un certain temps, et ce soir, vous demandez de savoir ce qui ne va pas. "Je vais vous dire ce qui ne va pas!" [From.GetSheHelCap] dit en colère: "Les hommes disent que vous devez avoir un vœu de mort sur le champ de bataille, mettant votre vie en danger. Voulez-vous me faire une veuve?";Ihr [GetFromRelation] [From.GetFirstName] gibt dir die stille Behandlung für einige Zeit, und heute Abend verlangst du zu wissen, was falsch ist "Ich werde dir sagen, was los ist!" [From.GetSheHeCap] sagt ärgerlich: "Die Männer sagen, du musst einen Todeswunsch auf dem Schlachtfeld haben, indem du dein Leben unnötig in Gefahr versetzt hast. Willst du mir eine Witwe machen?";;Su [GetFromRelation] [From.GetFirstName] le ha estado dando el tratamiento silencioso durante algún tiempo, y esta noche usted demanda saber qué está mal. "Te diré lo que está mal!" [From.GetSheHeCap] dice enojado: "Los hombres dicen que debes tener un deseo de muerte en el campo de batalla, poniendo tu vida en riesgo innecesariamente. ¿Quieres hacerme viuda?";;;;;;;;;x;,,,,,,,,,,
